queryid,query
1,coronavirus origin
2,coronavirus response to weather changes
3,coronavirus immunity
4,how do people die from the coronavirus
5,animal models of COVID-19
6,coronavirus test rapid testing
7,serological tests for coronavirus
8,coronavirus under reporting
9,coronavirus in Canada
10,coronavirus social distancing impact
11,coronavirus hospital rationing
12,coronavirus quarantine
13,how does coronavirus spread
14,coronavirus super spreaders
15,coronavirus outside body
16,how long does coronavirus survive on surfaces
17,coronavirus clinical trials
18,masks prevent coronavirus
19,what alcohol sanitizer kills coronavirus
20,coronavirus and ACE inhibitors
21,coronavirus mortality
22,coronavirus heart impacts
23,coronavirus hypertension
24,coronavirus diabetes
25,coronavirus biomarkers
26,coronavirus early symptoms
27,coronavirus asymptomatic
28,coronavirus hydroxychloroquine
29,coronavirus drug repurposing
30,coronavirus remdesivir
31,difference between coronavirus and flu
32,coronavirus subtypes
33,coronavirus vaccine candidates
34,coronavirus recovery
35,coronavirus public datasets
36,SARS-CoV-2 spike structure
37,SARS-CoV-2 phylogenetic analysis
38,COVID inflammatory response
39,COVID-19 cytokine storm
40,coronavirus mutations
41,COVID-19 in African-Americans
42,Vitamin D and COVID-19
43,violence during pandemic
44,impact of masks on coronavirus transmission
45,coronavirus mental health impact
46,dexamethasone coronavirus
47,COVID-19 outcomes in children
48,school reopening coronavirus
49,post-infection COVID-19 immunity
50,mRNA vaccine coronavirus
